Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,book_movie_weirdness,Background?,sig_scene,Setups?,Start Time,End Time,Total Time
Fatal Fireworks," There's a comedic, non-fatal example: at Bilbo's birthday party, Pippin and Merry steal and launch one of Gandalf's firework rockets, ending up with an Ash Face .",,yes,,,,BIRTHDAY,,1288,1298,
Ash Face," Merry and Pippin, after setting off a firework at Bilbo's birthday party.",,,,,,BIRTHDAY,,1378,1426,
Ear Ache," After Merry and Pippin set off one of Gandalf's fireworks without his permission, he lifts them up by the pointy tips of their ears and glares down at them like they are misbehaving children.",,,,,,BIRTHDAY,,1417,1426,
Freeze-Frame Bonus," Peter Jackson points out on the DVD Commentary that if you're paying attention during the wide shots for Bilbo's birthday party speech, you'll realize that his birthday cake is melting. This was due to the polystyrene catching fire from the 111 candles (hence the smoke and glow on Ian Holm's face). But because Holm was on a roll, they kept shooting and cropped out the cake in post-production.",,,,,,BIRTHDAY,,1439,1440,
Shout-Out, To the Ralph Bakshi animated Lord Of The Rings (Mr. Proudfoot the Hobbit with his feet up on the table).,,,,,,BIRTHDAY,,1459,1460,
Homage Shot," Peter Jackson shot one bit at Bilbo's birthday party (""Proudfeet!"") as an exact copy of a shot in Ralph Bakshi 's animated Lord of the Rings . Jackson even helpfully points this out in the commentary.",,,,,,BIRTHDAY,,1459,1460,
Audience Murmurs," Played for Laughs when Bilbo is giving his farewell and says, ""I don't know half of you half as well as I should like and I like less than half of you half as well as you deserve."" This is straight out of the book where it describes the response as scattered applause with most of the audience working it out to see if it came out to a compliment. The movie conveys this reaction with mostly blank looks in the audience.",,,,,,BIRTHDAY,,1483,1489,
Offscreen Teleportation," Gandalf manages to move from Bilbo's party to Bag End before Bilbo himself gets there, even though he is seen sitting in the audience while Bilbo is running home, made invisible by the Ring. All without crossing paths with him, either. He is a wizard, but not even the most powerful beings in Middle-earth can manage actual teleportation.",,,,,,BIRTHDAY,,1557,1558,
Power Echoes," Gandalf's voice gets deep and echoes when he declares: "" BILBO BAGGINS --- DO NOT TAKE ME FOR SOME CONJUROR OF CHEAP TRICKS!! I AM NOT TRYING TO ROB YOU! "" ",,,,,,BIRTHDAY,,1663,1674,
Kill the Lights," When Gandalf intimidates Bilbo to convince him to leave the Ring behind, the room darkens and his voice gains a menacing reverberation. He also seems to grow, though he may simply be standing up from a slouch. Gandalf: Bilbo Baggins, do not take me for some conjurer of cheap tricks! ",,,,,,BIRTHDAY,,1665,1674,
Reluctant Gift," The One Ring has this effect on its bearers. Bilbo Baggins has to be prompted into giving it up when Gandalf tells him, ""The Ring is still in your pocket.""",,,,,,BIRTHDAY,,1719,1745,
Deathly Dies Irae," ""Dies irae"" appears in the score as Bilbo's ring tempts him one last time before he leaves the Shire. It weighs heavily on him as he slowly tips his hand to let it fall to the floor, right after it has been made clear that there is something dangerous about it and it is likely the One Ring. ",,,,,,BIRTHDAY,,1731,1746,
Aborted Arc," Bilbo's departure from the Shire is an in-universe example. Bilbo's intention for his retirement was to retrace his and the Company of the Dwarves' journey and revisit the familiar locales of his youth (Mirkwood, Lake-town, and Erebor). However, those travel plans were made before Bilbo relinquished the Ring (and without knowing it was actually responsible for his longevity). With it gone, Bilbo's chronological age began catching up with him and he only made it as far as Rivendell before being forced to call it quits.",,,,,Long duration. Unclear end timing.,BIRTHDAY,,1751,5243,
O.O.C. Is Serious Business,Bilbo's uncharacteristic outburst and behavior when he leaves Bag End and initially refuses to relinquish the Ring alarms Gandalf. It's what finally brings Gandalf's longstanding concerns to a head (along with his brief contact with Sauron's presence) and prompts his fact-finding mission to Minas Tirith's archives.,,,,,Ends when Frodo returns from party and Gandalf leaves to research.,BIRTHDAY,,1657,1894,
Scare Chord, When Gandalf almost touches the One Ring and senses Sauron in it. ,,,,,,RESEARCH-NAZGUL-COMING,,1815,1816,
Jump Scare," Gandalf knows something's wrong with the Ring that he had to pressure Bilbo into finally discarding, but he isn't entirely sure just what it's capable of as he reaches for it. The instant his fingers grace its metal, a hellish eye of fire appears with a screaming sound and a boom more akin to primordial thunder not even a quarter of a second. It's no wonder the next scene cuts to him watching the nearby fireplace in a stupor to separate his mind from the horror he witnessed and not even realizing Frodo has entered for half a minute.",,,,,,RESEARCH-NAZGUL-COMING,,1815,1816,
Reports of My Death Were Greatly Exaggerated, Sauron is Not Really Dead.,,,,,End time is when Frodo confirms there are markings on the ring.,RESEARCH-NAZGUL-COMING,,1815,2251,
Title Drop,"Gandalf whispers Riddles in the Dark, as he wonders if that chapter of The Hobbit might not be entirely true. ",,,,,,RESEARCH-NAZGUL-COMING,,1830,1831,
Bait-and-Switch," Played for drama: the film shows Saurons tower looking over Mordor below near the start of the first act; the tower depicted, however, is only a guard tower. The camera then pans across to show the actual tower of Barad-dur; and it's much, much bigger.",,,,,Not sure this is in the right spot.,RESEARCH-NAZGUL-COMING,,1931,1952,
Reveal Shot," We open with a shot of a dark menacing tower in Mordor, apparently Barad-dur, home of Sauron. Then the camera pulls back... and back... and back... until we are able to get a full view of the ungodly immense, dozens of times larger and infinitely more menacing tower that is the true Barad-dur, revealing the initial tower we saw as one of the hundreds of (relatively) tiny lookout towers spaced around Barad-dur's outer wall.",,,,,Not sure this is in the right spot.,RESEARCH-NAZGUL-COMING,,1931,1952,
Evil Tower of Ominousness," The (original) Dark Tower, Barad-dur. It's actually depicted as under construction; the completed tower itself is first seen at the end of the film, from the Seat of Amon Hen.",,,,,Not sure this is in the right spot.,RESEARCH-NAZGUL-COMING,,1952,1953,
Early-Bird Cameo,"Minas Morgul makes a brief appearances in this film during the ""Account of Isildur"" sequence before becoming much more important in The Two Towers (albeit for Osgiliath, especially in the Extended Edition) and The Return of the King . ",,,,,,RESEARCH-NAZGUL-COMING,,1958,1965,
Early-Bird Cameo,"Minas Tirith makes a brief appearances in this film during the ""Account of Isildur"" sequence before becoming much more important in The Two Towers (albeit for Osgiliath, especially in the Extended Edition) and The Return of the King . ",,,,,,RESEARCH-NAZGUL-COMING,,1968,1970,
Early-Bird Cameo,"Osgiliath makes a brief appearances in this film during the ""Account of Isildur"" sequence (literally a split second in Osgiliath's case during the establishing shot of the Gondor-Mordor border) before becoming much more important in The Two Towers (albeit for Osgiliath, especially in the Extended Edition) and The Return of the King . ",,,,,,RESEARCH-NAZGUL-COMING,,1972,1974,
Doing Research," After Bilbo leaves the Shire, Gandalf already has suspicions about the magical ring transmitted to Frodo. The Wizard is next seen doing historical research to learn more about the One Ring, notably the story of Isildur, to confirm those suspicions.",,,,,,RESEARCH-NAZGUL-COMING,,1996,2056,
Ironic Echo," Gandalf finds a record of Isildur's journal, accounting the finding of the One Ring. Isildur: I will risk no harm to the Ring. It is precious to me. Averted in some dubs where they change Gollum's my precious but miss this echo .",,,,,,RESEARCH-NAZGUL-COMING,,2035,2036,
Hope Spot," Gandalf gets one In-Universe when he uses the information he obtained in Minas Tirith to test the One Ring. The Ring doesn't react to fire and for a moment, Gandalf's quietly relieved he was wrong and this isn't the evil artifact he'd feared it was... and then Frodo spots the emerging Black Speech... ",,,,,,RESEARCH-NAZGUL-COMING,,2242,2251,
Soul Jar," The One Ring. It wasn't actually created for this purpose --- the Dark Lord Sauron was already an immortal spirit able to take any form he wished. He created it as an Amplifier Artifact that would make his already formidable Mind Control powers strong enough to take over the other rings (and through them, their wearers). But in making the Ring strong enough to control the other rings he had to put so much of his Life Energy into it that as long as the Ring survives he cannot be completely destroyed either. Frodo: But he was destroyed. Sauron was destroyed. Gandalf: No, Frodo. The spirit of Sauron endured. His life force is bound to the Ring, and the Ring survived. Sauron has returned.",,,,,,RESEARCH-NAZGUL-COMING,,2327,2343,
"Oh, Crap!","Frodo in the first film, when he realizes that the two words Sauron's forces got from Gollum (Shire and Baggins) means that they know where the One Ring is and are coming to take it. ",,,,,,RESEARCH-NAZGUL-COMING,,2418,2423,
Let Us Never Speak of This Again,"After Gandalf says that Sauron must never find the Ring, Frodo says they'll put it away and never speak of it again... except that Sauron has already found Gollum, who also knew that Bilbo had the Ring, knows of the Shire, and has sent the Nazgul to claim it.",,yes,,,,RESEARCH-NAZGUL-COMING,,2380,2384,
Off with His Head!," One of the Ringwraiths cuts a hapless Hobbit's head off when they're riding into the Shire, although it happens offscreen . ",,,,,,RESEARCH-NAZGUL-COMING,,2427,2428,
Killed Offscreen," The Hobbit who has a run-in with the Ringwraiths on the road. We see the lead wraith swing his sword, and the Hobbit's surprised face, but then it cuts back to Frodo and Gandalf talking in a Discretion Shot .",,,,,,RESEARCH-NAZGUL-COMING,,2427,2428,
Adaptational Timespan Change," In the book, it's about seventeen years from Bilbo's farewell party to Gandalf's visit where the Ring-inscription is revealed, and a few more months before Frodo sets out on the Ring-quest. The film seems to condense the first interval to exactly as long as it takes Gandalf to make the trip to Minas Tirith and back, a few weeks or months, and Frodo sets out the next day.",,,,x,Fuzzy: Set to Gandalf going to Minas Tirith to Frodo leaving.,LEAVING SHIRE,,1968,2478,
Implausible Deniability," When Gandalf catches Sam eavesdropping at Bag End, the latter insists he was just simply cutting the grass, that's all. That explanation might have workedâ¦if it wasn't currently the middle of the night. Gandalf naturally lampshades this.",,,,,,LEAVING SHIRE,,2557,2562,
How Much Did You Hear?," Gandalf catches Sam outside the Baggins home, demands to know how much Sam heard and then has Sam accompany Frodo on his journey. Gandalf: What did you hear?! Speak! Sam: N-nothing important! That is, I heard a good deal about a ring and a Dark Lord, and something about the end of the world...",,,,,,LEAVING SHIRE,,2564,2571,
"Nice Job Breaking It, Hero!"," Bilbo sharing his name and place of origin with Gollum during the Riddle Game back in The Hobbit: An Unexpected Journey (and while it was there in 2001, it was more of an implication; it's clearer now with the Middle-earth films completed). This comment, given without thought and in passing 60 years earlier, finally comes back to bite the Baggins Family with a vengeance. Gollum is located and captured by Sauron's forces (and before Gandalf can get to him first) and tortured into divulging what he knows. This gives the Nazgul their first real lead on the One Ring's whereabouts since Sauron's original downfall. And since Bilbo has left the Shire at this point, Frodo's left holding the bag (and the Ring) and forced to go on the run. ",,,,,Fuzzy: placed when Gollum divulges its location to when Frodo has to leave the Shire.,LEAVING SHIRE,,2414,2478,
Creepy Crows,"Gandalf: The Enemy has many spies... beasts, and birds...",,,,,,LEAVING SHIRE,,2596,2600,
Foreshadowing," In an Extended-Version-only scene, Frodo and Sam see a group of Wood-Elves on their way to the Grey Havens while they're leaving the Shire. The final film ends with Frodo going to the Grey Havens and leaving Middle-earth with the rest of the elves .",,,,,,LEAVING SHIRE,,2729,2745,
This Is as Far as I Go,"When the hobbits are leaving the Shire, Samwise stops and says, ""This is it..."" then follows up with, ""If I take one more step, it'll be the farthest away from home I've ever been."" (which inspires the question of how he knew that, given that he was in the middle of a field at the time), and proceeds to stay with Frodo throughout the rest of the story.",yes,,,,,LEAVING SHIRE,,2659,2670,
Establishing Character Moment,Saruman chastising Gandalf for consorting with Hobbits. ,,,,,,SARUMAN BETRAYAL,,2853,2860,
"Oh, Crap!","Gandalf when Saruman informs him that now in knowledge of the One Ring's location, Sauron has dispatched some of his most lethal agents to get it back. Saruman: Sauron's forces are already moving. The Nine have left Minas Morgul. Gandalf: [horrified] The Nine ?! Also Gandalf's reaction when Saruman reveals he is in league with Sauron and bars the former's escape from Orthanc. ",,,,,,SARUMAN BETRAYAL,,2952,2968,
Wham Line," After informing Gandalf that Sauron's forces are on the move and that the Ring-Bearer is in danger, Saruman reveals his true allegiance: Saruman: You did not seriously believe a Hobbit could contest with the will of Sauron? There are none who can .",,,,,,SARUMAN BETRAYAL,,2982,2989,
I Fight for the Strongest Side!," One of Saruman 's reasonings for betraying the Free Peoples and siding with Sauron is that at his core, he's always believed that the battle between good and evil can only be won through a matter of power (as noted by Gandalf in The Hobbit: An Unexpected Journey ) --- and he's seen and learned enough about Sauron's power to believe that he can't be stopped and the only options available are to either join him or die.",,,,,"Fuzzy: Conveyed when Saruman says ""there are none who can [contend with the will of Sauron]"" to ""there can be no victory""",SARUMAN BETRAYAL,,2987,2996,
We Can Rule Together, Saruman tries this on Gandalf. It doesn't work.,,,,,,SARUMAN BETRAYAL,,3000,3006,
Brutal Brawl,"Gandalf discovers Saruman has joined forces with Sauron and a Wizard Duel erupts between the two of them. It's shown as a telekinetic staff fight, and without one laying a finger on the other the two wizards slam each other into stone walls and doors. The brutality is actually enhanced by the actors being elderly men. ",,,,,,SARUMAN BETRAYAL,,3020,3077,
Ham-to-Ham Combat," There's the massive ham-off between those two old thesps, Christopher Lee and Ian McKellen as Saruman and Gandalf. ""You have chosen the way of pain!"" indeed. No piece of the scenery is left unchewed.",,,,,,SARUMAN BETRAYAL,,3020,3077,
Wizard Duel," Gandalf versus Saruman. Does not happen in the book , though he does battle the Witch King (to a draw) on Weathertop in Fellowship of the Ring , seen from afar by the hobbits. Gandalf versus the Balrog is at least implied in the first film. DOES happen in the book in which an exhausted Gandalf states that he put a shutting-spell on the door. In the film the Balrog apparently can't follow them directly and takes another path, rather shaking things up as he does, implying that Gandalf (who does look pretty haggard by then) did something to impede him.",,,,,"Text here is confusing--maybe the scraping or its using Gandalf vs Balrog as another example, which seems incorrect?",SARUMAN BETRAYAL,,3020,3077,
Full-Contact Magic, Gandalf and Saruman's staff-fight in Saruman's chambers involves them striking the air with their staves and generating telekinetic waves against the opponent.,,,,,,SARUMAN BETRAYAL,,3021,3077,
Tempting Fate," Played for Laughs. When Sam panics after losing sight of him for a moment, Frodo asks in amusement what could happen while they're still in the Shire. A second later, Merry and Pippin bowl them over.",,,,,,LEAVING SHIRE,,3087,3112,
Establishing Character Moment,"Sam telling Frodo the promise he made to Gandalf in the beginning. (""Don't you lose him, Samwise Gamgee!"") ",,,,,,LEAVING SHIRE,,3102,3110,
No Escape but Down, When the hobbits are chased by a farmer and his dogs.,,,,,,LEAVING SHIRE,,3138,3156,
Human Traffic Jam, Happens when the Hobbits are running away from Farmer Maggot; doubles as a Cliff Stack .,,,,,,LEAVING SHIRE,,3154,3156,
Cliff Stack," A four-hobbit version occurs when they're fleeing from the farmer and comes at the edge of a cliff. Of course, it's Sam who's the last stacker, and unwittingly pushes all the others down. Bonus points for Pippin nearly landing in some dung and Merry breaking his, er, carrot.",,,,,,LEAVING SHIRE,,3154,3156,
Title Drop,"When the hobbits fall on each other after being pursued by Farmer Maggot "" A shortcut to what ?"" "" Mushrooms !"" (where there's a chapter titled ""A shortcut to mushrooms"" in the book).",,,,,,LEAVING SHIRE,,3180,3183,
Behind a Stick," In the scene where the hobbits are hiding from a Black Rider, the Rider actually emerges from behind a tree instead of riding in from the right side of the screen as you would expect, despite said tree being too small to hide the Rider and his horse.",,,,,,FLEE NAZGUL,,3254,3255,
Shout-Out, To the Ralph Bakshi animated Lord Of The Rings (the Nazgul emerging from the tree as the four Hobbits hide in the roots).,,,,,,FLEE NAZGUL,,3254,3286,
Mythology Gag, The scene angle when the Nazgul are looking for the Hobbits hiding in a root is directly taken from the Ralph Bakshi animated version .,,,,,,FLEE NAZGUL,,3254,3286,
Homage Shot,Four hobbits hiding under a root by the wayside with the Nazgul leaning in above them. ,,,,,,FLEE NAZGUL,,3254,3286,
Creepy Centipedes, A centipede and some spiders appear for added creepiness when the hobbits are hiding from the first Black Rider. Although they're less creepy in themselves as it's more like the bugs are trying to get away from the Ringwraith.,,,,,,FLEE NAZGUL,,3261,3266,
Bugs Herald Evil," Insects and spiders come out of the woodwork in droves when the hobbits arrive to seek the ring, fleeing from the Nazgul.",,,,,,FLEE NAZGUL,,3261,3266,
Vertigo Effect, Used by Peter Jackson when Frodo senses the arrival of the Black Rider in the Shire.,,,,,,FLEE NAZGUL,,3267,3270,
Throwing the Distraction," Frodo, Merry, Pippin and Sam are hiding from a black rider (Nazgul/Ringwraith) under some tree roots. As the rider is peering overhead, and it seems they are close to being discovered, Merry throws his and Pippin's sack of (stolen) vegetables, which gives the four of them enough time to escape the scene.",,,,,,FLEE NAZGUL,,3285,3286,
Convenient Escape Boat," This is done somewhat when the Nazgul are chasing the hobbits --- and the hobbits pull off in the ferry, before Frodo even gets there. Naturally, Frodo has to jump for it --- and makes it... just in time. (In the book, it was nowhere this dramatic; the Nazgul follows them to the river, but is unseen until long after they've pulled off.)",,,,,,FLEE NAZGUL,,3404,3435,
