Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
Establishing Character Moment," The movie opens with a perky pop song * Specifically, Barenaked Ladies ' ""One Week"" playing over fun, bouncing credits, as four perky pretty girls roll up to a stop sign in a brightly-coloured sports car... then the pop music is rapidly drowned out by Joan Jett 's ""Bad Reputation"", as a lone, sour-faced young woman rolls up next to them in a beat-up Ford, glaring . Six minutes before we learn her name, five minutes before she ever speaks , and we already know Kat's basic character. Also captured in that wonderful exchange with Miss Perky: Ms. Perky: People perceive you as somewhat... Kat: Tempestuous? Ms. Perky: "" Heinous bitch "" is the term used most often. Kat: [pleased smile]",,,,,,74,85,11
Death Glare," Kat gives the preppy girls a surly glare when we first see her. It comes with an Establishing Character Moment . Walter angrily stares down Joey on prom night when the latter turns up at the Stratford house to pick up Bianca, before wordlessly slamming the door in Joey's face.",,,,,,78,85,7
World of Snark," Kat , Bianca , Michael , to name only a few, and plenty of Snark-to-Snark Combat , especially between the Stratfords .",,,,,,150,5856,5706
Nice Guy," Cameron, Michael, and Patrick, on the whole. While all 3 do have their flaws, they all do look out for each other, and Bianca and Kat.",,,,,,159,5856,5697
Unusual Euphemism," This exchange: Patrick: Joey can plough whatever he wants. Cameron: Hey! There will be no ploughing! ""Bratwurst? Well, aren't we the optimist.""",,,,,,191,196,5
Instantly Proven Wrong," When New Transfer Student Cameron met Michael, he commented he was thankful that for once the teachers didn't s1.37.36 down ""one of those audio-visual geeks"" to show him around on his first day. Michael laughs, at which point a guy carrying a bunch of AV equipment walks to him and asked ""Hey Michael, where should I put those slides?""",,,,,,220,227,7
Clique Tour, Michael gives new boy Cameron a tour of the high school social scene.,,,,,,233,311,78
Meaningful Name," Kat's (abbreviated form) name, although she spells it with a K. Seeing as how cats are sterotypedâ Cats Are Mean , is not a trope for nothing. Kat and Bianca's last name (after Stratford-upon-Avon), as well as Pat rick's last name, and Padua High School. Cameron James is named after King James, who ruled during Shakespeare's life.",,,,,,309,311,2
Megaphone Hanging," Stacks of Shakespeare references. Cameron: I burn, I pine, I perish! Michael: ...Sure you do.",,,,,,311,316,5
Foreshadowing," Mr Morgan insulting Joey in his class (""Someday you're gonna get bitch-slapped, and I'm not going to do a thing to stop it"" and then ""Unless she kicked the crap out of your dumb butt, I don't want to hear about it"") sets up how Joey will get his ass handed to him by Bianca at the prom. Bianca tells Cameron in their first meeting that Kat used to be popular but an ""unsolved mystery"" caused her to become cold and antisocial. Bianca later finds out that it was because Kat went out with Joey before and they went all the way, but when Kat told Joey she wasn't ready to do it again, he dumped her. At Bogey's party, when Kat saw Bianca with Joey, Kat tried to get Bianca alone, but Bianca told her to go away. Kat was going to tell Bianca about her past relationship with Joey that she (and the audience) find out about later.",,,,,,401,405,4
Mills and Boon Prose," A guidance counselor, who writes bad sex novels, wants to know another word for ""engorged"". Swollen. Turgid. Tumescent? Perfect! Bratwurst. ""I'll let you get back to Reginald's quivering member."" ""I've got deviants to see and a novel to finish... now SCOOT!""",,,,,,474,486,12
Heinous bitch,"n that wonderful exchange with Miss Perky: Ms. Perky: People perceive you as somewhat... Kat: Tempestuous? Ms. Perky: "" Heinous bitch "" is the term used most often. Kat: [pleased smile]",,,,,,524,528,4
Adaptational Jerkass," All Bianca's suitors in the original had a Fri1.37.36ly Rivalry , and Lucentio (Cameron's counterpart) just convinced his biggest rival that Bianca wasn't worthy of his affections, and he bowed out gracefully when he was outbid. This version has a Jerkass called Joey, who's only out to sleep with Bianca for a bet and dumped Kat when she wouldn't sleep with him a second time .",,,,,,542,5856,5314
The Bet," Subverted and, in a way, played straight. Joey is actually just after Bianca because his fri1.37.36s bet him he couldn't sleep with her, but by the time Bianca finds out about this she's already become disenchanted with Joey and realized that Cameron is the better guy. Patrick, while not betting on anything himself, is the one who catches the consequences of the trope when Kat finds out that he was paid to take her out.",,,,,,562,5856,5294
I Meant to Do That," Michael, on his scooter, swerves out of the way of an oncoming truck and careers down a grassy hill towards the sports field. After he falls off, he gets up, sees the crowd up at the top and cheers with his arms in the air , invoking this trope.",,,,,,738,745,7
Tomboy and Girly Girl," Kat is an aggressive, casually dressed lover of punk music, and her younger sister Bianca is a glamour-obsessed fashionista.",,,,,,783,5856,5073
Full-Name Basis," We only hear Kat's full name of Katarina spoken twice, first by Mr. Stratford when he first appears and again when Cameron asks a group of guys if any of them would be interested in dating her.",,,,,,794,797,3
The Glorious War of Sisterly Rivalry," As in the Shakespearean source material, the Stratford sisters. Kat is the bitchy and high-minded Smart, while Bianca is the gregarious and not-as-intellectual Pretty. Kat: You don't always have to be who they want you to be, you know. Bianca: I happen to like being adored, thank you.",,,,,,802,4800,3998
Because I Said So," Their father, sort of, and also Kat towards Bianca's wish to date Joey. She doesn't explain why till the 1.37.36 of the movie. Kat slept with Joey once. When she said she didn't want to do it again, he dumped her.",,,,,,849,930,81
Two-Teacher School, The gym teacher/soccer coach and the English teacher are the only ones seen.,,,,,,968,1485,517
Everything Sounds Sexier in French," Subverted with Cameron and Bianca's decidedly unromantic French tutoring sessions, to Cameron's disappointment. Cameron: I thought we could start with pronunciation? Bianca: Ugh, not the hacking and gagging and spitting part, please. It doesn't get any better once they actually start speaking French either, since he's struggling with basic sentence structure, and she's speaking rapid-fire fluent French about how pissed she is that he's not asked her out yet.",yes,,,,,974,982,8
Foreshadowing," Mr Morgan insulting Joey in his class (""Someday you're gonna get bitch-slapped, and I'm not going to do a thing to stop it"" and then ""Unless she kicked the crap out of your dumb butt, I don't want to hear about it"") sets up how Joey will get his ass handed to him by Bianca at the prom. Bianca tells Cameron in their first meeting that Kat used to be popular but an ""unsolved mystery"" caused her to become cold and antisocial. Bianca later finds out that it was because Kat went out with Joey before and they went all the way, but when Kat told Joey she wasn't ready to do it again, he dumped her. At Bogey's party, when Kat saw Bianca with Joey, Kat tried to get Bianca alone, but Bianca told her to go away. Kat was going to tell Bianca about her past relationship with Joey that she (and the audience) find out about later.",,,,,,1028,1038,10
Full-Name Basis," We only hear Kat's full name of Katarina spoken twice, first by Mr. Stratford when he first appears and again when Cameron asks a group of guys if any of them would be interested in dating her.",,,,,,1081,1093,12
Screams Like a Little Girl," When Cameron asks the guys Michael has gathered about whether they will date Kat, the final guy has this reaction.",,,,,,1107,1108,1
Brick Joke," Early in the movie Patrick drills a hole in Cameron's French textbook. The hole remains for the rest of the movie, making for several scenes where the already clueless Cameron is attempting to learn French from a useless book.",,,,,,1175,1182,7
Face Doodling," Actually took place while the character was awake. Joey doodles on Michael's face as he's trying to speak. Michael: I have a dick on my face, don't I?",,,,,,1238,1265,27
Social Circle Filler," Patrick is seen at the start of the film hanging around with a bald biker guy, with whom he smokes and who is his lab partner. As Patrick becomes more involved with Kat, the character disappears altogether. Later on, when Patrick needs someone to talk to, he goes to Cameron.",,,,,,1337,1380,43
Mr. Fanservice," Patrick and Joey. In Joey's case, it's what attracted him to Kat in the backstory.",,,,,,1339,1428,89
Bad News in a Good Way," Cameron: We're screwed. Michael: Hey, no, hey. I don't want to hear that defeatist attitude. I want to hear you upbeat. Cameron: [upbeat)] We're screwed ! Michael: There you go.",,,,,,1484,1445,-39
Missing Mom," Kat and Bianca's mother is absent. She gets a few mentions, the implication being that she left the family, and that left the dad feeling out of control, explaining why he's so overprotective of his daughters.",,,,,,1537,1551,14
All Periods Are PMS," Katerina's father calls her out on this, after she dents Joey's car in a bout of anger: ""My insurance does not cover PMS!""",,,,,,1631,1634,3
Calling the Old Man Out," Mr. Stratford, being an Boyfri1.37.36-Blocking Dad , gets three small ones, one from Kat and two from Bianca, where Kat lays into him for not letting her att1.37.36 Sarah Lawrence and to stop trying to control her life because he can't seem to control his, and Bianca even calls him severely unhinged when he won't allow her to att1.37.36 the prom if Kat isn't going.",,,,,,1663,1670,7
Unusual Euphemism," This exchange: Patrick: Joey can plough whatever he wants. Cameron: Hey! There will be no ploughing! ""Bratwurst? Well, aren't we the optimist.""",,,,,,1744,1784,40
Smoking Is Not Cool," Kat certainly thinks so, and according to Bianca she once said she would rather die before dating a guy who smoked. Patrick gives up to try and appeal to her. She walks away from him after the paint-balling session when he lights up (she also takes the cigarette from his mouth).",,,,,,1949,1952,3
Hypocritical Humor," While Cameron and Bianca are going through Kat's bedroom so that Cameron can clue Patrick in on Kat's likes and dislikes, Bianca refuses to let Cameron see her own room because ""a girl's room is very personal"". Bear in mind this is after Bianca has shown Cameron a pair of Kat's panties.",,,,,,2011,2014,3
Vanity Is Feminine," Poked fun at when Patrick is told Katerina prefers "" pretty guys ."" ""... Are you telling me I'm not a pretty guy?""",,,,,,2093,2114,21
Token Black Fri1.37.36," Chastity is seemingly there just as a fri1.37.36 for Bianca to sound board ideas off in the first act. This gets arguably subverted when at Bogey's party, she gets annoyed with Bianca pawning her off on Cameron and hooks up with Joey in retaliation. Joey has a black fri1.37.36 who exists only to listen to his evil plans and gets minimal lines or characterization.",,,,,,2320,2433,113
"A Party, Also Known as an Orgy"," Said by Mr. Stratford when Bianca and Chastity tried to convince him that them going to Bogey's party wasn't the 1.37.36 of the world. Walter: Where are we going? Bianca: Well, if you must know, a small study group of fri1.37.36s... Walter: ...otherwise known as an orgy? Chastity: Mr. Stratford, it's just a party. Walter: And hell is just a sauna.",,,,,,2337,2339,2
"Aw, Look! They Really Do Love Each Other"," Kat reluctantly agrees to go to Bogey's party so that Bianca can, even if it means Bianca will likely run into Joey. Kat also agreeing to go to the prom, despite having criticised it repeatedly earlier, so that Bianca can att1.37.36. Mr. Stratford s1.37.36s Sarah Lawrence a check at the 1.37.36 so Kat can att1.37.36, even though he initially wanted her to stay close to home. When he tells Kat this, she's so happy she actually hugs him.",,,,,,2343,2395,52
Noodle Incident," Michael tells Cameron the last party he went to before Bogey's was at a Chuck E. Cheese, and apparently had a good time there.",,,,,,2492,2522,30
Wild Teen Party," In which Kat gets drunk, dances on a table, and throws up in the park.",,,,,,2503,3063,560
Exact Words," Kat tells Joey to stay away from Bianca during the party scene. Joey responds with this: ""Oh, I'll stay away from your sister. But I can't guarantee she'll stay away from me."" Sure enough, Bianca runs into Joey, but she soon sees Kat's point about him.",,,,,,2608,2613,5
Kick the Dog," Joey steals Bianca away from Cameron at the party and as they walk away from him, Joey flashes him a smug smile and a sarcastic thumbs-up.",,,,,,2737,2745,8
Reconstruction, Has some elements of this with regards to the teen comedy. Kat's anti-social behavior stems from past high school drama and Bianca has a Heel Realization with her It's All About Me attitude.,,,,,,2820,5856,3036
Pet the Dog," At Bogey's party, Joey is about to ask Patrick how he was able to get Kat to come to the party (he didn't, Bianca did, but Joey doesn't know that), and when, seconds later, Kat starts a drunken table dance, Joey encourages her for a moment and is quite impressed by it.",,,,,,2837,2880,43
Tap on the Head, Kat's drunken table dance 1.37.36s when she hits her head on the chandelier above the table and Patrick catches her before she can hit the ground.,,,,,,2869,2883,14
Worst Aid," Patrick thinks Kat might have a concussion, so he tries to stop her from falling asleep - which is a complete myth. As long as the person isn't displaying any difficulties holding a conversation or walking, or displaying symptoms like dilated pupils, sleep is actually good to help the brain rest",,,,,,2898,3035,137
Moment Killer," While sitting on the swings outside Bogey's party, Kat remarks on Patrick's eyes. It looks like there will be a t1.37.36er moment between the two, only for Kat to vomit seconds later.",,,,,,3031,3038,7
Mood Whiplash," Kat makes a remark on Patrick's eyes, only for the moment to be ruined when she vomits on the ground. During the paint-balling session, a t1.37.36er kiss between Patrick and Kat is interrupted when Kat hits Patrick on the forehead with another paintball.",,,,,,3031,3038,7
Held Gaze," One between Kat and Patrick, which turns into an Almost Kiss but then Patrick looks away, killing the moment. This also happens between Cameron and Bianca as well.",,,,,,3180,3193,13
Almost Kiss," After the party Kat leans in for a kiss and Patrick pulls away, showing he was starting to connect with her.",,,,,,3180,3193,13
"What the Hell, Hero?"," Cameron gives Bianca a piece of his mind when he learns that she was just manipulating him and his feelings towards her to try and get closer to another guy. This is, of course, after Bianca has decided that maybe he's the better choice after all . Cameron: Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter. (cue ""Shut Up"" Kiss )",,,,,,3232,3244,12
Armor-Piercing Question, When Cameron calls out Bianca on her self-centeredness. Cameron: (very perturbed) Have you always been this selfish? Bianca: (in a small voice) Yes.,,,,,,3250,3258,8
"""Shut Up"" Kiss"," Bianca does this to Cameron when he calls her out on her actions at the party (He was technically her date, but she spent more time with Joey only to recognize Joey for what he was. Cameron was being a gentleman by driving her home). Probably the best way to get back in his good graces. Subverted later when Kat finally finds out that Patrick was paid to date her. He tries resorting to this to convince her that he really did love her, but she was too angry and pushed him away. Played straight again at the very 1.37.36 of the movie, after Patrick finally wins Kat back by buying her dream guitar for her.",,,,,,3279,3282,3
Sheep in Sheep's Clothing," After a Heel Realization courtesy of being called out by Cameron, Bianca becomes one of these.",,,,,,3309,5856,2547
Get Out!," Mr. Morgan s1.37.36s Kat out of his class twice. The second time, she's genuinely interested, but he thinks she's mocking him .",,,,,,3382,3394,12
Shot in the Ass, A distracted Bianca looses an arrow into her gym teacher's posterior.,,,,,,3576,3596,20
Funny Background Event," As Bianca is trying to fire her bow, Joey tries to talk to her. The result is that the arrow misses the target and hits the teacher instead note The Coach was kind of asking for it standing in front of the firing line. He was clearly away from the line of fire but Bianca had turned about 60 degrees to her left between Joey's appearance and letting the arrow go. Regardless, that's why the general rule is to stay behind the firing line . Bianca even stops to look before going right back to her conversation . When Coach Chapin is supervising detention several scenes later, he still visibly has trouble sitting down due to his earlier injury.",,,,,,3576,3596,20
Amusing Injuries, Bianca accidentally firing an arrow into her teacher's backside.59.35,,,,,,3576,3596,20
I Just Shot Marvin in the Face," More like ""I just shot my teacher in the ass"", but it works. It's actually a large part the teacher's fault, as he wandered into the target area while someone still had a bow drawn.",,,,,,3576,3596,20
Chekhov's Gun," The money Joey is paying Patrick to date Kat, and the F1.37.36er Strat guitar Kat is seen with in the music store. At the 1.37.36 of the film, Patrick reveals to Kat he used the money to get the guitar for her. Possibly subverted in that it may not be the same guitar, but the idea still stands.",,,,,,3619,3671,52
Serenade Your Lover," The famous ""Can't Take My Eyes Off of You"" scene in the stadium. With a parade.",,,,,,3799,3870,71
All Girls Want Bad Boys," Subverted. Kat only starts to like Patrick when he's not being a jerk and it's his persistence that wins her over, not his bad boy charms. But played straight with Bianca falling for Joey. That is, until she also subverts it by falling for Cameron.",,yes,,,,3824,5856,2032
Distracted by the Sexy, Kat deliberately invokes this to get Patrick out of detention.,,,,,,3983,4051,68
Sesquipedalian Loquaciousness," Thanks to Dawson's Creek , this is one of the many teen-oriented projects in which the kids arrange their words in such a manner that they sound like a college freshman who's trying too hard to make an essay sound more sophisticated than it actually is. Bianca: Can we for two seconds ignore the fact that you're severely unhinged and discuss my need for a night of teenage normalcy?",,,,,,3990,3993,3
Show Some Leg, It isn't exactly her leg. Patrick: So how did you keep him distracted? Kat: I dazzled him with my... wits.,,,,,,4073,4076,3
Brick Joke," Early in the movie Patrick drills a hole in Cameron's French textbook. The hole remains for the rest of the movie, making for several scenes where the already clueless Cameron is attempting to learn French from a useless book.",,,,,,4347,1314,-3033
Bilingual Bonus," Unlike the other French lesson dialogue, Cameron's French cursing is not subtitled.",,,,,,4372,4374,2
Calling the Old Man Out," Mr. Stratford, being an Boyfri1.37.36-Blocking Dad , gets three small ones, one from Kat and two from Bianca, where Kat lays into him for not letting her att1.37.36 Sarah Lawrence and to stop trying to control her life because he can't seem to control his, and Bianca even calls him severely unhinged when he won't allow her to att1.37.36 the prom if Kat isn't going.",,,,,,4462,4466,4
Totally Radical," Played for laughs in-universe; Walter Stratford's various attempts at speaking 'teen' in an effort to get his point across to his daughters aren't as successful as he hopes. Walter: I'm down, I've got the 411, and you are not going out and getting jiggy with some boy, I don't care how dope his ride is. My momma didn't raise no foo'!",,yes,,,,4476,4493,17
Foreshadowing," Mr Morgan insulting Joey in his class (""Someday you're gonna get bitch-slapped, and I'm not going to do a thing to stop it"" and then ""Unless she kicked the crap out of your dumb butt, I don't want to hear about it"") sets up how Joey will get his ass handed to him by Bianca at the prom. Bianca tells Cameron in their first meeting that Kat used to be popular but an ""unsolved mystery"" caused her to become cold and antisocial. Bianca later finds out that it was because Kat went out with Joey before and they went all the way, but when Kat told Joey she wasn't ready to do it again, he dumped her. At Bogey's party, when Kat saw Bianca with Joey, Kat tried to get Bianca alone, but Bianca told her to go away. Kat was going to tell Bianca about her past relationship with Joey that she (and the audience) find out about later.",,,,,,4545,4627,82
Hypocrite," Kat wants to protect Bianca from making her mistakes with boys, but she also want her to make up her own mind, so she won't tell her anything.",,,,,,4618,4644,26
"Aw, Look! They Really Do Love Each Other"," Kat reluctantly agrees to go to Bogey's party so that Bianca can, even if it means Bianca will likely run into Joey. Kat also agreeing to go to the prom, despite having criticised it repeatedly earlier, so that Bianca can att1.37.36. Mr. Stratford s1.37.36s Sarah Lawrence a check at the 1.37.36 so Kat can att1.37.36, even though he initially wanted her to stay close to home. When he tells Kat this, she's so happy she actually hugs him.",,,,,,4640,4720,80
"Red Oni, Blue Oni"," Kat is blue, Bianca is red. This is also shown in the colours of a good number of their respective outfits in their scenes together, including their prom dresses near the 1.37.36 of the film.",,,,,,4712,4730,18
Beta Couple, Cameron and Bianca become this to Kat and Patrick after Bianca realizes Cameron is a better person than Joey.,,,,,,4725,5856,1131
This Is Gonna Suck," Mr. Stratford says ""This is not good"" as Cameron and Bianca leave his house to go the prom.",,,,,,4778,4780,2
She Cleans Up Nicely, Kat and Patrick have this effect on one another. Kat in particular wears casual clothes for most of the film (save for donning a strapless top for the concert) but looks positively stunning in a blue prom dress with her hair done and her mother's pearls.,,,,,,4821,81,-4740
Light Is Not Good," Joey wears a few white outfits, such as a white tank top, which he wears when he first bribes Patrick to go out with Kat, and the white suit jacket he wears to the prom.",,,,,,4861,4344,-517
High-School Dance," Patrick needs to convince Kat to go with him to prom so that Bianca can also att1.37.36. Kat finds it an outdated and misogynist event, and her father (a gyno) views it as a prelude to an orgy.",,,,,,4890,5194,304
Pair the Spares, Chastity 1.37.36s up with Joey; Michael starts dating Kat's best fri1.37.36 Mandella.,,,,,,4915,4932,17
Ye Olde Butcherede Englishe, Parodied. Michael: [in character] The shit hath hitteth the fan... eth.,,,,,,5093,5096,3
"Oh, Crap!"," Michael at the prom when he realizes Kat knows the truth about the bet, and he promptly tells Cameron the shit has hit the fan.",,,,,,5093,5096,3
Foreshadowing," Mr Morgan insulting Joey in his class (""Someday you're gonna get bitch-slapped, and I'm not going to do a thing to stop it"" and then ""Unless she kicked the crap out of your dumb butt, I don't want to hear about it"") sets up how Joey will get his ass handed to him by Bianca at the prom. Bianca tells Cameron in their first meeting that Kat used to be popular but an ""unsolved mystery"" caused her to become cold and antisocial. Bianca later finds out that it was because Kat went out with Joey before and they went all the way, but when Kat told Joey she wasn't ready to do it again, he dumped her. At Bogey's party, when Kat saw Bianca with Joey, Kat tried to get Bianca alone, but Bianca told her to go away. Kat was going to tell Bianca about her past relationship with Joey that she (and the audience) find out about later.",,,,,,5123,5077,-46
Laser-Guided Karma," For parking in the middle of the road, right behind Kat's car to annoy her, Kat delivers instant karma by reversing into Joey's car, denting it. Michael is kicked out of the Ivy League group at Padua for a petty reason by Bogey Lowenstein, so Michael gets his revenge by planning a house party at Bogey's house without Bogey knowing about it. It also has a side effect for the main characters in that it gives Joey, then Cameron, an excuse to get with Bianca. Also, when Bianca finds out about Joey's ultimate aim to have his way with her on prom night, and now knowing about what he did to Kat in the past, she furiously attacks him.",,,,,,5127,5134,7
"""Hey, You!"" Haymaker"," The previously mellow Bianca does this to Joey at the prom, combining it with And This Is for... ...: "" That's for making my date bleed, that's for my sister , and that's for me!""",,,,,,5127,5134,7
And This Is for...," Bianca does this to Joey near the 1.37.36 of the movie. It's immensely satisfying. Bianca: That's for making my date bleed , that's for my sister , and thatâs for me!",,,,,,5131,5134,3
Groin Attack," Bianca to Joey after finding out he placed a bet to nail her on prom night. And the audience cheers. A Noodle Incident equivalent happens in Kat's backstory. (""I still maintain that he kicked himself in the balls."") When Michael is on his bike and accidentally goes tumbling down a hill, he shouts ""My balls!"" during one of the bounces.",,,,,,5135,5136,1
Second-Act Breakup," Played mostly straight with Kat and Patrick, although most of the movie is them getting close and then getting in a big fight anyway.",,,,,,5160,5460,300
"""Shut Up"" Kiss"," Bianca does this to Cameron when he calls her out on her actions at the party (He was technically her date, but she spent more time with Joey only to recognize Joey for what he was. Cameron was being a gentleman by driving her home). Probably the best way to get back in his good graces. Subverted later when Kat finally finds out that Patrick was paid to date her. He tries resorting to this to convince her that he really did love her, but she was too angry and pushed him away. Played straight again at the very 1.37.36 of the movie, after Patrick finally wins Kat back by buying her dream guitar for her.",,,,,,5180,5182,2
"""Shut Up"" Kiss"," Bianca does this to Cameron when he calls her out on her actions at the party (He was technically her date, but she spent more time with Joey only to recognize Joey for what he was. Cameron was being a gentleman by driving her home). Probably the best way to get back in his good graces. Subverted later when Kat finally finds out that Patrick was paid to date her. He tries resorting to this to convince her that he really did love her, but she was too angry and pushed him away. Played straight again at the very 1.37.36 of the movie, after Patrick finally wins Kat back by buying her dream guitar for her.",,,,,,5180,5182,2
"Aw, Look! They Really Do Love Each Other"," Kat reluctantly agrees to go to Bogey's party so that Bianca can, even if it means Bianca will likely run into Joey. Kat also agreeing to go to the prom, despite having criticised it repeatedly earlier, so that Bianca can att1.37.36. Mr. Stratford s1.37.36s Sarah Lawrence a check at the 1.37.36 so Kat can att1.37.36, even though he initially wanted her to stay close to home. When he tells Kat this, she's so happy she actually hugs him.",,,,,,5329,5345,16
Nonindicative Name," ""Ten Things I Hate About You"" is catchy, but Kat's poem lists more than ten things. The explanation is some of the items may be listed together. The words ""I hate"" appear in the poem ten times; the words that follow may be lumped together. Thus ""I hate your big dumb combat boots and the way you read my mind"" would be one item.",,,,,,5380,5442,62
Title Drop, The title comes from the poem Kat composes as part of an English assignment.,,,,,,5387,5430,43
Rule of Three," In all three scenes in Mr. Morgan's English class, Kat leaves while each is in progress. The first two times, Mr. Morgan tells her to Get Out! . The third, however, she starts crying as she reads her poem and walks out.",,,,,,5442,5443,1
Artists Are Attractive," Patrick starts to fall for Kat, in no small part, because of their similar tastes in music His Apology Gift to her is a specific guitar she's wanted for some time. It proves his sincerity not because of its financial value (though that is also substantial) but because it shows he was listening to her and cared about her desires.",,,,,,5462,5495,33
Chekhov's Gun," The money Joey is paying Patrick to date Kat, and the F1.37.36er Strat guitar Kat is seen with in the music store. At the 1.37.36 of the film, Patrick reveals to Kat he used the money to get the guitar for her. Possibly subverted in that it may not be the same guitar, but the idea still stands.",,,,,,5469,5480,11
Small Reference Pools," Kat complains about not discussing women authors in English class, but only names Sylvia Plath and Charlotte BrontÃ« (she does name Simone De Beauvoir , however).",,,,,,5535,5542,7
Rooftop Concert," The movie 1.37.36s with a crane shot, revealing the band Letters to Cleo playing on top of Padua High School.",,,,,,5560,5856,296
