,Trope,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
164,No OSHA Compliance,No,Yes,Self destruct mechanism is difficult to start,No,No,5718,5763,7014
165,No OSHA Compliance,No,No,Self destruct mechanism can't be cancelled,No,No,5937,5937,7014
166,No OSHA Compliance,No,No,Kane brought back to ship,No,No,2174,2174,7014
167,Normal Fish In A Tiny Pond,No,No,Sequels show that the xenomorph in this movie is nothing special,Yes,No,0,7014,7014
168,Nothing Is Scarier,No,No,Not showing or revealing things makes the film scarier,Yes,No,0,7014,7014
169,Not In My Contract,No,No,Parking says that replying to distress calls is not in his contract,No,No,725,734,7014
170,Not Quite Dead,No,No,Ash goes after parker after his head is torn off,No,No,4996,5049,7014
171,Obstructive Bureaucrat (subverted),No,No,Ripley quotes 24 hour decontamination regulations instead of allowing Kane back on ship,No,No,2143,2174,7014
172,Off With His Head!,No,No,Ash is beheaded,No,No,4995,4995,7014
173,Only Sane Woman,No,No,Ripley is the only one to suggest leaving Kane off ship,No,No,2143,2174,7014
174,Orifice Invasion,No,No,Facehugger first scene,No,No,2314,2314,7014
175,Our Graphics Will Suck In The Future,No,No,Topographical scan of the alien world's terrain,No,No,906,918,7014
176,Our Graphics Will Suck In The Future,No,No,Topographical scan of the alien world's terrain,No,No,978,978,7014
177,Our Graphics Will Suck In The Future,No,No,Topographical scan of the alien world's terrain,No,No,994,994,7014
178,Outrun The Fireball,No,No,Ripley escapes the self-destruct,No,No,6194,6194,7014
179,Phallic Weapon,No,No,Ash trying to suffocate Ripley,No,No,4951,4978,7014
180,Phallic Weapon,No,No,Xenomorph's second jaw,No,No,4080,4080,7014
181,Phallic Weapon,No,No,Xenomorph's second jaw,No,No,5624,5624,7014
182,Phallic Weapon,No,No,Xenomorph's second jaw,No,No,6507,6507,7014
183,Plumbers Crack,No,No,Ripley's strip scene,No,No,6390,6390,7014
184,Post Climax Confrontation,No,No,Xenomorph reveal on the shuttle,No,No,6408,6408,7014
185,Quit Your Whining,No,No,"Lambert says ""I like griping""",No,No,1378,1378,7014
186,The Reveal,No,No,"Ash reveal, Mother reveal",No,No,4804,4804,7014
187,Ridiculously Human Robot,No,No,Ash reveal as a robot,No,No,4995,4995,7014
188,Robotic Reveal,No,No,Ash reveal as robot,No,No,4995,4995,7014
189,Rule of Scary,No,No,"Many things in the movie don't make a lot of sense, but are scary nonetheless",Yes,No,0,7014,7014
190,Sapient Ship,No,Yes,Asking Mother questions,No,No,4229,4259,7014
191,Sapient Ship,No,Yes,Asking Mother questions,No,No,4766,4785,7014
192,Scotty Time,No,No,"Brett tells ripley repairs will take 17 hours, parker says 25",No,No,1095,1098,7014
193,Screaming Woman,No,No,Lambert screaming,No,No,3385,3385,7014
194,Screw the Rules Im Doing Whats Right,Yes,No,Ash lets Kane in,No,No,2174,2174,7014
195,Screw ThisIm Out of Here,No,No,Decision made to self destruct (made by everyone alive),No,No,5220,5220,7014
196,Self Destruct Mechanism,No,No,The Nostromo has a self destruct button,No,No,5722,5722,7014
197,Send in the Search Team,No,No,Basis of the story,Yes,No,0,7014,7014
198,Senseless Sacrifice,No,No,Parker tries to save Lambert and fails ,No,No,5599,5624,7014
199,Sensor Suspense,No,No,When Dallas is tracking the alien through the vents,No,No,4280,4543,7014
200,Shoulders Of Doom,No,No,Spacesuit that Ripley has at the end has shoulder pads,No,No,6534,6534,7014
201,Sinister Suffocation,No,No,Ash attempts to suffocate Ripley with the rolled-up magazine,No,No,4951,4978,7014
202,Slasher Movie,No,No,From here the movie is focused on the alien killing the crew,Yes,No,3410,7014,7014
203,Slasher Smile,No,No,After the alien bares its teeth at Parker and opens it's jaws to kill him,No,No,3411,7014,7014
204,Sleeper Starship,No,No,The Nostromo has sleeper pods,No,No,3412,7014,7014
205,Snowy Screen Of Death,No,No,Monitor only shows static when the connection to Dallas breaks,No,No,3413,7014,7014
206,Sole Survivor,No,No,"After Parker and Lambert Die, only Ripley is left",No,No,3414,7014,7014
207,SoundOnly Death,No,No,Lambert's death,No,No,3415,7014,7014
208,Space Is Noisy,No,No,Noise in space ,No,No,3416,7014,7014
209,Space Is Noisy,No,No,Noise in space ,No,No,3417,7014,7014
210,Space Isolation Horror,No,No,Arguably the genre of the movie,Yes,No,0,7014,7014
211,Space Trucker,No,No,The Nostromo is essentially a space tugboat,Yes,No,0,7014,7014
212,Spy Speak,No,No,"Brett tells Parker that repairs will take 17 hours, Parker tells Ripley they'll take 25",No,No,1095,1098,7014
213,Surprisingly Sudden Death,No,No,Kane's Death,No,No,3410,3410,7014
214,Survival Mantra,No,No,You are my lucky star...Lucky Star,No,No,6601,6694,7014
215,There Is No Kill Like Overkill,No,No,Alien's death,No,No,6729,6729,7014
216,This Is Gonna Suck,No,No,Ripley asks Mother why Ash can't neutralize the Alien ,No,No,4764,4804,7014
217,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,643,658,7014
218,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,765,765,7014
219,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,1073,1110,7014
220,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,1312,1362,7014
221,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,2493,2526,7014
222,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,3082,3085,7014
223,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,3138,3180,7014
224,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,3627,3647,7014
225,Those Two Guys,No,No,Scenes with Brett and Parker,No,No,3780,3801,7014
226,Thrown Out Of The Airlock,No,No,Kane's body launched into space,No,No,3480,3480,7014
227,Thrown Out Of The Airlock,No,No,Xenomorph is launched into space,No,No,6711,6711,7014
228,Token Minority,No,No,Parker is the only black character,Yes,No,0,7014,7014
229,Trapped WithMonster Plot,No,No,After Kane's death,No,No,3410,3410,7014
230,Two Girls To A Team,No,No,Only two women in the crew,Yes,No,0,7014,7014
231,Ultimate Life Form,No,No,"What Ash says about the Alien ""perfect organism""",No,No,5162,5162,7014
232,Uncertain Doom,No,No,Never actually see what happens to Dallas,No,No,4543,4543,7014
233,Used Future,No,No,Aesthetic choice for the movie,Yes,No,0,7014,7014
234,Vasquez Always Dies,Yes,No,"Lambert is the opposite of a Vasquez, but dies nonetheless",No,No,5649,5649,7014
235,Virtue Is Weakness,No,No,"Ash express an admiration for the xenomorph - ""unclouded by delusions of morality",No,No,5186,5196,7014
236,Weaponized Exhaust,No,No,Ripley blasts the xenomorph with the engine exhaust,No,No,6729,6730,7014
237,We Have Reserves,No,No,Crew expendable,No,No,4804,4804,7014
238,Wham Line,No,No,Crew expendable,No,No,4804,4804,7014
239,Wham Shot,No,No,Ash's head knocked off,No,No,4995,4995,7014
240,White Shirt of Death,No,No,Kane is wearing a white shirt when he dies,No,No,3366,3366,7014
241,Worst Aid,No,No,Parker forcing a piece of plastic into Kanes mouth at dinner - not what you should do for epileptic seizures,No,No,3352,3352,7014
242,You Are In Command Now,No,No,Ripley is the only officer still on the ship,No,No,2670,2670,7014
243,You Are In Command Now,No,No,"Dallas and Kane are dead, leaving Ripley in charge",No,No,4543,4543,7014
244,You Have No Chance To Survive,No,No,Ash's last words,No,No,5207,5216,7014
