Trope,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,\N
ACrackInTheIce,0.6,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
ACupAngst,0.0,0.0,0.0,0.0,0.0,0.7391304347826086,0.043478260869565216,0.0,0.6521739130434783,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.5652173913043478,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
ADR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADarkerMe,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADateWithRosiePalms,0.11439114391143912,0.0036900369003690036,0.0959409594095941,0.0036900369003690036,0.033210332103321034,0.5129151291512916,0.14022140221402213,0.007380073800738007,0.4944649446494465,0.014760147601476014,0.06273062730627306,0.0,0.0,0.01107011070110701,0.2029520295202952,0.033210332103321034,0.01107011070110701,0.09225092250922509,0.0,0.19557195571955718,0.04428044280442804,0.01845018450184502,0.007380073800738007,0.12915129151291513,0.025830258302583026,0.007380073800738007,0.0036900369003690036
ADateWithRosiepalms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADayAtTheBizarro,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADayInHerApron,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
ADayInTheLife,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
ADayInTheLimeLight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ADayInTheLimelight,0.35714285714285715,0.0,0.42857142857142855,0.0,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.0,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0
ADeadlyAffair,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.09090909090909091,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.0,0.0
ADeathInTheLimelight,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
ADegreeInUseless,0.2,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.3,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.0
ADickInName,0.0,0.0,0.0,0.0,0.2,0.6,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
ADogAteMyHomework,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADogNamedDog,0.19230769230769232,0.0,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.34615384615384615,0.3076923076923077,0.15384615384615385,0.0,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.0,0.038461538461538464,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.11538461538461539,0.0,0.07692307692307693,0.0
ADorkable,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AF1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AFIS100Years100HeroesAndVillains,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFIS100Years100MovieQuotes,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
AFIS100Years100Songs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFateWorseThanDeath,0.23809523809523808,0.0,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.23809523809523808,0.0,0.3333333333333333,0.09523809523809523,0.19047619047619047,0.0,0.0,0.047619047619047616,0.3333333333333333,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.0
AFatherToHisMen,0.39634146341463417,0.006097560975609756,0.29878048780487804,0.018292682926829267,0.12195121951219512,0.16463414634146342,0.08536585365853659,0.012195121951219513,0.6219512195121951,0.036585365853658534,0.006097560975609756,0.0,0.0,0.17073170731707318,0.054878048780487805,0.018292682926829267,0.012195121951219513,0.006097560975609756,0.0,0.04878048780487805,0.13414634146341464,0.012195121951219513,0.006097560975609756,0.08536585365853659,0.25609756097560976,0.024390243902439025,0.0
AFeteWorseThanDeath,0.375,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
AFistfulOfRehashes,0.75,0.125,0.125,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.375,0.0
AFoggyDayInLondonTown,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.45454545454545453,0.0,0.8181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
AFoolAndHisNewMoneyAreSoonParted,0.0625,0.0,0.125,0.0,0.0,0.4375,0.4375,0.0,0.8125,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0625,0.125,0.0,0.0,0.0
AFoolForAClient,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5,0.25,0.0,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFormYouAreComfortableWith,0.4,0.0,0.4,0.02857142857142857,0.02857142857142857,0.2571428571428571,0.0,0.0,0.34285714285714286,0.14285714285714285,0.4,0.0,0.0,0.02857142857142857,0.14285714285714285,0.0,0.0,0.11428571428571428,0.0,0.02857142857142857,0.34285714285714286,0.0,0.0,0.08571428571428572,0.0,0.02857142857142857,0.0
AFriendInNeed,0.24324324324324326,0.0,0.21621621621621623,0.0,0.05405405405405406,0.35135135135135137,0.10810810810810811,0.0,0.5945945945945946,0.1891891891891892,0.16216216216216217,0.0,0.0,0.13513513513513514,0.05405405405405406,0.0,0.0,0.05405405405405406,0.0,0.13513513513513514,0.10810810810810811,0.05405405405405406,0.0,0.08108108108108109,0.08108108108108109,0.0,0.0
AG36,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AGirlAndHerX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGirlInEveryPort,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGlassInTheHand,0.6,0.0,0.3333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.4666666666666667,0.0,0.0,0.0
AGlassOfChianti,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,0.0,0.0,0.35714285714285715,0.07142857142857142,0.0,0.0
AGlitchInTheMatrix,0.625,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.625,0.0,0.0,0.125,0.0,0.0,0.0
AGodAmI,0.45384615384615384,0.0,0.4076923076923077,0.0,0.03076923076923077,0.2230769230769231,0.13076923076923078,0.015384615384615385,0.33076923076923076,0.015384615384615385,0.2,0.0,0.0,0.05384615384615385,0.2076923076923077,0.007692307692307693,0.015384615384615385,0.09230769230769231,0.0,0.05384615384615385,0.3,0.007692307692307693,0.007692307692307693,0.15384615384615385,0.03076923076923077,0.0,0.0
AGodIAm,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGodIAmNot,0.75,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
AGodIsYou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AGoodNameForARockBand,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
AGoodWayToDie,0.5384615384615384,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.3076923076923077,0.0,0.6923076923076923,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0
AHandfulForAnEye,0.6470588235294118,0.0,0.38235294117647056,0.0,0.029411764705882353,0.2647058823529412,0.17647058823529413,0.0,0.29411764705882354,0.08823529411764706,0.14705882352941177,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.11764705882352941,0.0,0.029411764705882353,0.17647058823529413,0.0,0.029411764705882353,0.0
AHeadAtEachEnd,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
AHellOfATime,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
AHeroIsBorn,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AHeroToHisHometown,0.4,0.0,0.4,0.0,0.4,0.6,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0
AHouseDivided,0.175,0.0,0.225,0.0,0.0,0.125,0.0,0.0,0.325,0.025,0.075,0.0,0.0,0.0,0.625,0.025,0.0,0.325,0.0,0.0,0.25,0.025,0.0,0.275,0.025,0.025,0.0
AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AICronym,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIIsACrapShoot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIIsACrapshoot,0.5348837209302325,0.0,0.313953488372093,0.0,0.0,0.20930232558139536,0.06976744186046512,0.011627906976744186,0.19767441860465115,0.08139534883720931,0.09302325581395349,0.0,0.0,0.0,0.13953488372093023,0.0,0.011627906976744186,0.046511627906976744,0.0,0.011627906976744186,0.6976744186046512,0.023255813953488372,0.0,0.19767441860465115,0.0,0.0,0.0
AIs,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
AKA47,0.5,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
ALadyOnEachArm,0.6153846153846154,0.0,0.3076923076923077,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.3076923076923077,0.0,0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.3076923076923077,0.0,0.07692307692307693,0.3076923076923077,0.0,0.07692307692307693,0.0
ALessonInDefeat,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ALessonLearnedTooWell,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
ALightInTheDistance,0.5,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
ALighterShadeOfBlack,0.26666666666666666,0.0,0.13333333333333333,0.0,0.1,0.3,0.3333333333333333,0.0,0.5666666666666667,0.0,0.1,0.0,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,0.3,0.0,0.03333333333333333,0.0
ALighterShadeOfGray,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALighterShadeOfGrey,0.2,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0
ALittleSomethingWeCallRockAndRoll,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
ALizardNamedLiz,0.5,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
ALoadOfBull,0.875,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
ALongTimeAgoInAGalaxyFarFarAway,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0
ALoveToDismember,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0.0
AMFMCharacterization,0.5,0.0,0.375,0.0,0.0,0.3125,0.3125,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.25,0.0,0.0625,0.1875,0.0,0.0625,0.0
AMacGuffinFullOfMoney,0.3333333333333333,0.0,0.25,0.0,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.0
AMacguffinFullOfMoney,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
AMagicContractComesWithAKiss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AManIsAlwaysEager,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0,0.5,0.07692307692307693,0.0,0.3076923076923077,0.0,0.15384615384615385,0.038461538461538464,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.038461538461538464,0.0,0.19230769230769232,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
AManIsNotAVirgin,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMasterMakesTheirOwnTools,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
AMatchMadeInStockholm,0.6,0.0,0.3,0.0,0.0,0.25,0.45,0.0,0.35,0.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.1,0.05,0.0,0.05,0.3,0.0,0.0,0.0
AMechByAnyOtherName,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
AMi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AMillionIsAStatistic,0.32432432432432434,0.0,0.13513513513513514,0.0,0.13513513513513514,0.10810810810810811,0.24324324324324326,0.02702702702702703,0.6486486486486487,0.0,0.05405405405405406,0.0,0.0,0.13513513513513514,0.08108108108108109,0.02702702702702703,0.0,0.10810810810810811,0.0,0.02702702702702703,0.21621621621621623,0.05405405405405406,0.0,0.32432432432432434,0.05405405405405406,0.0,0.0
AMindIsATerribleThingToRead,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
AMinorKidroduction,0.1732283464566929,0.0,0.2440944881889764,0.015748031496062992,0.1889763779527559,0.3858267716535433,0.13385826771653545,0.007874015748031496,0.5433070866141733,0.06299212598425197,0.11811023622047244,0.0,0.0,0.09448818897637795,0.08661417322834646,0.023622047244094488,0.015748031496062992,0.05511811023622047,0.0,0.2125984251968504,0.06299212598425197,0.0,0.03937007874015748,0.05511811023622047,0.015748031496062992,0.023622047244094488,0.007874015748031496
AMistakeIsBorn,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMotherToHerMen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMythologyIsTrue,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
