,Trope,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,\N,Associated_Movies,Number_movies
13,ADarkerMe,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"['Black Swan', 'The Assignment']",2
14,ADateWithRosiePalms,31,1,26,1,9,139,38,2,134,4,17,0,0,3,55,9,3,25,0,53,12,5,2,35,7,2,1,"['A Clockwork Orange', 'A Dark Song', 'A Prophet', 'Ace Ventura: When Nature Calls', 'Adaptation.', 'Adventures in Babysitting', 'Aftermath', 'Agnes and His Brothers', 'All About Lily Chou-Chou', 'All Quiet on the Western Front', 'Always Crashing in the Same Car', 'Amarcord', 'American Beauty', 'American Mary', 'American Nightmare', 'American Pie', ""America's Sweethearts"", 'Amsterdamned', 'Animal House', 'Annie Hall', 'Another Gay Movie', 'Antichrist', ""April Fool's Day"", 'Avatar', 'Bad Moms', 'Baghead', 'Bastard Out of Carolina', 'Beautiful Girls', 'Being There', 'Bitch Slap', 'Black Mama White Mama', 'Black Snake Moan', 'Black Swan', 'Blue Is the Warmest Color', 'Body Melt', 'Bordello of Blood', 'Brain Donors', 'Brigsby Bear', 'Bubba the Redneck Werewolf', 'Burning', 'Burying the Ex', ""But I'm a Cheerleader"", 'C.R.A.Z.Y.', 'Carry on Girls', 'Carry on Henry VIII', 'Cheap Thrills', 'Chloe', 'Cinema Paradiso', 'Clerks', 'Clerks II', 'Colonel Kill Motherfuckers', 'Cool Cat Saves the Kids', 'Cyber Seduction: His Secret Life', 'Cyrus', 'Dallas Buyers Club', 'Dark Country', 'Dark Shadows', 'Dark Water', ""David Holzman's Diary"", 'Deadpool', 'Dear White People', 'Dirty Deeds', 'Dirty Grandpa', 'Dogma', 'Don Jon', 'Dope', 'Drive In Massacre', 'Drop Dead Gorgeous', 'Easter Bunny, Kill! Kill!', 'Elle', 'Emmanuelle', 'Extract', 'Fallen Angels', 'Fanboys', 'Fast Times at Ridgemont High', 'Fighting Elegy', 'Final Deployment 4: Queen Battle Walkthrough', 'Fortress', 'Forty Days and Forty Nights', 'Freaked', 'Freaky Friday', 'Frozen Days', 'Full Metal Jacket', 'Get Out', ""Grandma's Boy"", 'Grease', 'Grindhouse', 'Hannah and Her Sisters', 'Happy Death Day', 'Heartbreak Ridge', 'High Tension', 'History of the World: Part I', 'Holding the Man', 'Holidays', 'Horrible Bosses', 'Howard the Duck', 'Hysteria', 'Idiocracy', 'Idle Hands', 'If....', 'In the Loop', 'In Your Eyes', 'Instead of Abracadabra', 'Island of Terror', 'It Follows', 'Jarhead', 'June Bug', 'Just Friends', 'Kaboom', 'Kick-Ass', 'Kick-Ass 2', 'Kill List', 'Kinsey', 'Kiss of the Tarantula', 'Knights of Badassdom', 'Lady Bird', 'Little Children', 'Lost and Delirious', 'Love and Death', ""Love Don't Cost a Thing"", 'Lucky Bastard', 'Made in America', 'Maleficent', 'Malena', 'Maps to the Stars', 'McCabe & Mrs. Miller', 'Melancholia', 'Memories of Murder', 'Middle Men', 'Mishima: A Life in Four Chapters', ""Monty Python's Life of Brian"", 'Mulholland Drive', 'No Holds Barred', 'North Sea Texas', 'Not Another Teen Movie', 'Nova Zembla', 'Novitiate', 'Nowhere', 'Nymphomaniac', 'Oldboy', 'Onibaba', 'Opera', 'Osmosis Jones', 'Out Cold', 'Parenthood', 'Parting Glances', 'Paul', 'Personal Shopper', 'Picture Day', ""Pirates of the Caribbean: Dead Man's Chest"", 'Pitch Perfect', 'Pleasantville', 'Police Academy', 'Popstar: Never Stop Never Stopping', 'Poultrygeist: Night of the Chicken Dead', ""President's Day"", 'Presumed Innocent', 'Pretty Cool Too', 'Pretty Persuasion', 'Prick Up Your Ears', 'Psycho', 'Purple Rain', 'Real Genius', 'Road Trip', ""Rock 'n' Roll Nightmare"", 'Romance', ""Rory O'Shea Was Here"", 'Rubin and Ed', 'Saving Silverman', 'Secretary', 'See No Evil', 'Serenity', 'Serial Mom', 'Sex, Lies, and Videotape', 'Shame', ""Shoot 'Em Up"", 'Shortbus', 'Show Me Love', 'Showgirls', 'Side Effects', 'Sideways', 'Sing Street', 'Single White Female', 'Sirens', 'Sliver', 'Spanking the Monkey', 'Stan Helsing', 'Still Smokin', 'Stoker', 'Stranger by the Lake', 'Student Bodies', 'Super Troopers', 'Survival of the Dead', 'Sweet Movie', 'Sweetwater', 'Swiss Army Man', 'Sympathy for Mr. Vengeance', 'Ten Inch Hero', 'That Awkward Moment', ""That's My Boy"", 'The ABCs of Death', 'The Addams Family', 'The Assignment', 'The Auteur', 'The Awakening', 'The Babadook', 'The Basketball Diaries', 'The Battery', 'The Big Hit', 'The Blue Lagoon', 'The Book of Revelation', 'The Burning', 'The Center of the World', 'The Cinema Snob Movie', 'The Collector', 'The Colony', 'The Crow: City of Angels', 'The Dictator', 'The Dreamers', 'The Faculty', 'The Great Muppet Caper', 'The Green Inferno', 'The Handmaiden', 'The Inbetweeners 2', 'The Invention of Lying', 'The Judge', 'The Killing of a Sacred Deer', 'The Last Slumber Party', 'The Lobster', 'The Man from U.N.C.L.E.', 'The Master', 'The Mighty Ducks', 'The Nail Gun Massacre', 'The Neon Demon', 'The New York Ripper', 'The Other Guys', 'The Other Side of Sunday', 'The Right Stuff', 'The Shape of Water', 'The Siege of Firebase Gloria', 'The Silence of the Lambs', 'The Truth About Cats & Dogs', 'The Ugly Truth', 'The White Ribbon', 'The Wolf of Wall Street', 'The Wrong Guy', ""There's Something About Mary"", 'This Film Is Not Yet Rated', 'This Is the End', 'Thor: Ragnarok', ""Tim and Eric's Billion Dollar Movie"", 'Tommy Boy', 'Trevor', 'Tromeo and Juliet', 'Turn Me On, Dammit!', 'Twenty-One', 'The Silence', 'V/H/S/2', ""Vive L'Amour"", 'WR: Mysteries of the Organism', 'We Need to Talk About Kevin', 'Welcome Home', 'Welcome to the Dollhouse', 'What We Do in the Shadows', 'White Oleander', 'Wrong Turn 2: Dead End', 'XXY', 'You, Me and Dupree', 'Young Frankenstein', 'Your Highness', 'Youth in Revolt']",271
15,ADateWithRosiepalms,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['Sydney White'],1
16,ADayAtTheBizarro,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['The Hobbit: The Battle of the Five Armies'],1
17,ADayInHerApron,0,0,1,0,0,3,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"['Honey, I Blew Up the Kid', 'Kramer vs. Kramer', 'Mr. Mom', 'Mrs. Santa Claus', 'Repast', 'Salt of the Earth']",6
18,ADayInTheLife,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,"['Empire Records', 'Man with a Movie Camera', 'Manhatta']",3
19,ADayInTheLimeLight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,['The Maze Runner'],1
20,ADayInTheLimelight,5,0,6,0,1,8,1,0,6,2,1,0,0,0,0,0,1,0,0,0,2,0,1,3,0,0,0,"['Ah Boys to Men', 'Bumblebee', 'Burn Notice: The Fall of Sam Axe', 'Gintama', 'Jay and Silent Bob Strike Back', 'Les Boys', 'Licence to Kill', 'Muppets from Space', 'Prom', 'Rogue One: A Star Wars Story', 'Skyfall', 'The Consultant', 'The Greatest Showman', 'Zero Dark Thirty']",14
21,ADeadlyAffair,1,0,0,0,0,0,7,1,6,0,0,1,0,0,0,0,0,2,0,1,0,1,0,5,0,0,0,"['A Perfect Murder', 'Andhadhun', 'Boogie Nights', 'Double Indemnity', 'Eight Women', 'Just Before Nightfall', 'Minority Report', 'Sin City', 'Sin City: A Dame to Kill For', 'The Shawshank Redemption', 'Unfaithful']",11
22,ADeathInTheLimelight,6,0,7,0,0,1,1,0,1,2,1,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,"['Captain America: The Winter Soldier', 'Harry Potter and the Half-Blood Prince', 'Jason and the Argonauts', 'Skyfall', 'The Private Eyes', 'Transformers: Age of Extinction', 'Transformers: Dark of the Moon', 'Unknown', 'X-Men: Apocalypse']",9
23,ADegreeInUseless,2,0,0,0,0,7,1,0,3,1,2,0,0,0,1,1,0,0,0,2,1,0,0,2,0,0,0,"['About Alex', 'Adventureland', 'After the Dark', 'Almost Angels', 'Arthur', 'Dirty Harry', 'The Brass Teapot', 'The Inbetweeners 2', 'Tucker and Dale vs Evil', 'Undercover Brother']",10
24,ADickInName,0,0,0,0,1,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['And God Said to Cain', 'Dick', 'Sneakers', 'Three Billboards Outside Ebbing, Missouri', 'Vice']",5
25,ADogAteMyHomework,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Stand and Deliver'],1
26,ADogNamedDog,5,0,7,1,1,11,1,1,9,8,4,0,0,1,2,3,0,1,0,2,4,0,0,3,0,2,0,"['Babe', 'Big Jake', 'Bird Box', ""Breakfast at Tiffany's"", 'Cinderella', 'Cowboys & Aliens', 'E.T. the Extra-Terrestrial', 'George of the Jungle', 'Kiler', 'Kung Pow: Enter the Fist', 'My Pet Monster', 'Nemo', 'Pacific Rim: Uprising', 'Racing Stripes', 'Reds', ""That's the Way of the World"", 'The Conversation', 'The Country Bears', ""The Devil's Backbone"", 'The Goonies', 'The Incredible Burt Wonderstone', 'The Incredible Mr. Limpet', 'The Journey of Natty Gann', 'The Last Waltz', 'The Majestic', 'V/H/S']",26
27,ADorkable,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Billionaire Boys Club'],1
28,AF1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Air Force One'],1
29,AFIS100Years100HeroesAndVillains,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Mommie Dearest'],1
30,AFIS100Years100MovieQuotes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,"['Ball of Fire', 'Psycho']",2
31,AFIS100Years100Songs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Norma Rae'],1
32,AFateWorseThanDeath,5,0,5,0,1,1,5,0,7,2,4,0,0,1,7,0,0,5,0,1,2,0,0,6,2,1,0,"['A Christmas Carol', 'Alice in Wonderland', 'Django Unchained', 'Flags of our Fathers', 'Fright Night', 'Horsemen', 'Infestation', 'Ju-on: The Grudge', 'Lockout', 'Shutter', 'Sin City', 'Sin City: A Dame to Kill For', 'The Curse of La Llorona', 'The Hunger', 'The Ring', 'The Scorpion King', 'The Theory of Everything', 'The Void', 'Threads', 'Valerian and the City of a Thousand Planets', 'Young and Dangerous']",21
33,AFatherToHisMen,65,1,49,3,20,27,14,2,102,6,1,0,0,28,9,3,2,1,0,8,22,2,1,14,42,4,0,"['A Bridge Too Far', 'A League of Their Own', 'A Midnight Clear', 'After Earth', 'Agora', 'Air Force One', 'Alexander', 'Alien', 'All Quiet on the Western Front', 'Apocalypse Now', 'Apocalypto', 'April 9th', 'Battle Los Angeles', 'Battleship', 'Beast Stalker', 'Beasts of No Nation', 'Beau travail', 'Bertie and Elizabeth', 'Black Hawk Down', 'Black Panther', 'Brick Mansions', 'Brothers', 'C.K. dezerterzy', 'Captain America: The First Avenger', 'Captain Marvel', 'Captain Marvel', 'Carry On Sergeant', 'Carry On... Up the Khyber', 'Centurion', 'What?', 'Clear and Present Danger', 'Crimson Tide', 'Cross of Iron', 'The Battle of Culloden', 'December Heat', 'Deep Rising', ""Manitou's Shoe"", 'Dog Soldiers', 'Down Periscope', 'Downfall', 'Dr. Strangelove', 'Ernest Goes to Camp', 'Event Horizon', 'Far Cry', 'Fire Birds', 'Fire Maidens of Outer Space', 'First Blood', 'First Man', 'Fortress', 'Frank & Jesse', 'From Here to Eternity', 'Full Eclipse', 'Fury', 'Gettysburg', 'Glory', 'Go Tell the Spartans', 'Gods and Generals', 'Gray Lady Down', 'High & Tight', 'Hostiles', 'Hot Shots!', 'In Which We Serve', 'Ironclad', 'Johnny Gaddaar', 'Joyeux Noel', 'K-19: The Widowmaker', 'Kanal', ""Kelly's Heroes"", 'King Kong', 'Lawrence of Arabia', 'Letters from Iwo Jima', 'Lincoln', 'Lord of the Dance', 'Memphis Belle', 'Michael Collins', 'Midway', 'Mighty Morphin Power Rangers: The Movie', 'Million Dollar Baby', 'Mimino', 'Mutiny on the Bounty', 'Mutiny on the Bounty', 'My Way', 'Mysterious Island', 'Nine Eleven', 'Noah', 'Olympus Has Fallen', 'Only God Forgives', 'Passchendaele', 'Paths of Glory', 'Patton', 'Police Academy', 'Pork Chop Hill', 'Prime Cut', 'Rambo: First Blood Part II', 'Red Cliff', 'Riddick', 'Robin and Marian', 'Saving Private Ryan', 'Screamers', 'Sgt. Bilko', 'She Wore a Yellow Ribbon', 'Soldier', 'Soldier Boyz', 'Spartacus', 'Star Trek', 'Stop-Loss', 'Stripes', 'Tank', 'Taps', 'Tea and Sympathy', 'Terminator Salvation', 'The Alamo', 'The Bounty', 'The Boys in Company C', 'The Burmese Harp', 'The Charge of the Light Brigade', 'The Court-Martial of Billy Mitchell', 'The Crossing', 'The Dish', 'The Enemy Below', 'The Expendables 2', 'The Front Line', 'The Fugitive', 'The Greatest Showman', 'The Hobbit', 'The Hunted', 'The Iceman', 'The Keep', 'The Last Days on Mars', 'The Life and Death of Colonel Blimp', 'The Line', 'The Postman', 'The Prince and the Pagoda Boy', 'The Purge: Election Year', 'The Revenant', 'The Siege of Jadotville', 'The Smurfs', 'The Smurfs 2', 'The Terminator', 'The Thin Red Line', 'The Warlords', 'The Wild Geese', 'They Were Expendable', ""Things to Do in Denver When You're Dead"", 'Thousand Yard Stare', 'Thunderbirds', 'Tiger Cruise', 'Titanic', 'Tower Heist', 'Troop Beverly Hills', 'Troy', ""Twelve O'Clock High"", 'USS Indianapolis: Men of Courage', 'Utu', 'Valkyrie', 'War Machine', 'We Were Soldiers', 'Welcome to Dongmakgol', ""We're the Millers"", 'When Trumpets Fade', 'White Christmas', 'Wild Cats', 'Wild Wild West', 'X-Men: Apocalypse']",164
34,AFeteWorseThanDeath,3,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,4,0,0,0,"['Batman', 'Eye of the Devil', 'Get Out', 'Hot Fuzz', 'Live and Let Die', 'The Wicker Man', 'Two Thousand Maniacs!', 'YellowBrickRoad']",8
35,AFistfulOfRehashes,6,1,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,"['A Fistful of Dollars', 'Death Wish 4: The Crackdown', 'Desert Heat', 'Django', ""Miller's Crossing"", 'The Magnificent Seven', 'Yojimbo', 'Youth of the Beast']",8
36,AFoggyDayInLondonTown,2,0,1,0,0,3,5,0,9,0,0,1,0,0,2,0,0,1,0,4,1,0,1,0,0,0,0,"['Der Wixxer', 'Gaslight', 'None But the Lonely Heart', ""Pandora's Box"", 'Suzy', 'The Blackbird', 'The Cannonball Run', 'The Divorce of Lady X', 'The Ghoul', 'The Lodger', 'Time After Time']",11
37,AFoolAndHisNewMoneyAreSoonParted,1,0,2,0,0,7,7,0,13,2,0,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,"['Barry Lyndon', 'Blank Check', 'Blonde Crazy', 'Blonde in Black Leather', 'Christmas in July', 'Freddy Got Fingered', ""L'Eclisse"", 'Looper', 'Money Monster', 'Tabu', 'The Adventures of Pinocchio', 'The Loneliness of the Long Distance Runner', 'The Pagan', 'The Sting', 'Things Change', 'Virtue']",16
38,AFoolForAClient,1,0,1,1,4,6,3,0,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"['Bananas', 'Big Eyes', 'Denial', 'Flash of Genius', 'Fracture', 'Mrs. Doubtfire', 'The Addams Family', 'The Adventures of Rocky & Bullwinkle', 'The Expert', 'The Producers', 'The Return of Martin Guerre', 'The Three Brothers']",12
39,AFormYouAreComfortableWith,14,0,14,1,1,9,0,0,12,5,14,0,0,1,5,0,0,4,0,1,12,0,0,3,0,1,0,"['A Monster Calls', 'A Wrinkle in Time', 'Avatar', ""Bram Stoker's Dracula"", 'Bruce Almighty', 'Captain Marvel', 'Captain Marvel', 'Contact', 'Cowboys & Aliens', 'Defending Your Life', 'Dogma', 'End of Days', 'Galaxy Quest', 'Ghostbusters', 'Heaven Is for Real', 'Interstellar', 'It', 'Jesus, Bro!', 'Jumanji: Welcome to the Jungle', 'Knowing', 'Krull', 'Labyrinth', 'Lifeforce', 'Meet Joe Black', 'Oh, God!', 'Pet Shop', 'Purgatory', 'Spider-Man 3', 'Star Trek V: The Final Frontier', 'Starship Troopers 3: Marauder', 'Terminator Salvation', 'The Day the Earth Stood Still', 'The Nativity Story', 'The Shack', 'The Witch']",35
40,AFriendInNeed,9,0,8,0,2,13,4,0,22,7,6,0,0,5,2,0,0,2,0,5,4,2,0,3,3,0,0,"['A Boy and His Dog', 'Bat*21', ""Charlotte's Web"", 'Christmas with the Kranks', 'Elysium', 'Fat Albert', 'Fifty/Fifty', 'Godzilla vs. Gigan', 'Hanna', ""Isn't It Romantic"", ""It's a Wonderful Life"", 'The Troops on Vacation', 'Licence to Kill', 'Mona Lisa Smile', 'Newsies', ""Pirates of the Caribbean: At World's End"", 'Riddick', 'Salt of the Earth', 'Sideways', 'The Adventures of Milo and Otis', 'The Deer Hunter', 'The Duff', 'The Girl with the Dragon Tattoo', 'The King and the Clown', 'The King of Kings', 'The Return of the Living Dead', ""The Schoolgirl's Diary"", 'The Shape of Water', 'The Taking of Deborah Logan', 'The Yakuza', 'Third Star', ""Three O'Clock High"", 'Toyland', 'Virtue', 'Visas and Virtue', 'We Were Soldiers', 'Yesterday, Today and Tomorrow']",37
41,AG36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['X-Men Origins: Wolverine'],1
42,AGirlAndHerX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
43,AGirlInEveryPort,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Goyo: Ang batang heneral'],1
44,AGlassInTheHand,9,0,5,0,1,2,4,0,5,0,0,0,0,2,1,0,0,1,0,0,2,0,0,7,0,0,0,"['Breaking the Waves', 'Dr. No', 'Enter the Dragon', 'First Man', 'Frenzy', 'Goldfinger', 'Malice', 'Octopussy', 'The Front Line', 'The Mechanic', 'The Raven', 'The Erotic Adventures of Robin Hood', 'True Lies', 'V for Vendetta', 'Voyage to the Bottom of the Sea']",15
45,AGlassOfChianti,8,0,6,0,0,2,2,0,5,0,1,0,0,0,2,0,0,2,0,1,4,0,0,5,1,0,0,"['Cruel Intentions', 'Daybreakers', 'Diamonds Are Forever', 'Edge of Darkness', 'From Hell', 'From Russia with Love', 'Invasion, U.S.A.', 'King Kong Escapes', 'Modesty Blaise', 'Treasure of the Yankee Zephyr', 'The Island', 'The Matrix Reloaded', 'The Silence of the Lambs', 'Thor: Ragnarok']",14
46,AGlitchInTheMatrix,5,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,5,0,0,1,0,0,0,"['Inception', 'Ready Player One', 'Star Trek: Generations', 'The Matrix', 'The Thirteenth Floor', 'Too Many Cooks', 'Vanilla Sky', 'X2: X-Men United']",8
47,AGodAmI,59,0,53,0,4,29,17,2,43,2,26,0,0,7,27,1,2,12,0,7,39,1,1,20,4,0,0,"['A.I. Artificial Intelligence', 'Aguirre, the Wrath of God', 'Alien: Covenant', 'Amadeus', 'Apocalypse: Caught in the Eye of the Storm', 'Avengers: Age of Ultron', 'Batman Forever', 'Black Christmas', 'Borderland', 'Bride of Frankenstein', 'Bruce Almighty', 'Caligula', 'Candyman', 'Cape Fear', 'Captain America: The First Avenger', 'Clash of the Titans', 'Cleopatra', 'Colossus: The Forbin Project', 'Conquest', 'Contempt', 'Crazed', 'Cyberjack', 'Dark Star', 'Deadpool 2', 'Death Note: The Last Name', 'Deathstalker', 'Demetrius and the Gladiators', 'Demolition Man', 'Dreamscape', 'Embrace of the Serpent', 'Escape from L.A.', 'Exodus: Gods and Kings', 'Fantastic Four', 'Fantastic Four', 'Frankenstein', 'Gangster Squad', 'Get Him to the Greek', 'Get Out', 'Ghostbusters', ""God's Not Dead"", 'Gory Gory Hallelujah', 'Gothika', 'Groundhog Day', 'Hancock', 'Hellbound: Hellraiser II', 'Highlander: Endgame', 'Hollow Man', 'House of the Dead', 'In the Mouth of Madness', 'Inception', 'Innocent Blood', 'Island of Lost Souls', 'James Bond', ""Jennifer's Body"", 'John Carter', 'Johnny Mnemonic', 'Jonestown', 'Judge Dredd', 'Last Action Hero', 'Local Hero', 'Lord of Illusions', 'Malice', 'Mandy', 'Manhunter', 'Manson', 'Masters of the Universe', 'Matilda', 'Nam Angels', 'Noah', 'Oblivion', 'On the Waterfront', 'Overlord', 'Pain & Gain', 'Pink Flamingos', 'Platoon', 'Prometheus', 'Religulous', 'Repeaters', 'Ruby Sparks', 'Shiver', 'Sinbad, the Sailor', 'Sky Captain and the World of Tomorrow', 'Stake Land', 'Star Trek', 'Star Trek V: The Final Frontier', 'Starship Troopers 3: Marauder', 'Stingray Sam', 'Street Fighter', 'Superman II', 'The Adventures of Baron Munchausen', 'The Amazing Spider-Man 2', 'The Book of Manson', ""The Brain That Wouldn't Die"", 'The Condemned', 'The Fall of the Roman Empire', 'The Fourth Kind', 'The Great Yokai War', 'The Holy Mountain', 'The Island', 'The Lawnmower Man', 'The Man Who Would Be King', 'The Man with Two Brains', 'The Matrix Revolutions', 'The Meteor Man', 'The Mosquito Coast', 'The Omega Code', 'The One', 'The Order', 'The Quiet Earth', 'The Ruling Class', 'The Secret of My Success', 'The Shadow', 'The Stunt Man', 'The Ten Commandments', 'The Truman Show', 'The Voorman Problem', ""The World's Greatest Sinner"", 'Thou Shalt Not Kill... Except', 'Transcendence', 'Transformers: Dark of the Moon', 'Transformers: Revenge of the Fallen', 'TRON: Legacy', 'Ultraman Saga', 'United Passions', 'Valhalla Rising', 'Viva Maria!', 'We Need to Talk About Kevin', 'Weekend', 'X-Men: Apocalypse', 'Yellowbeard']",130
48,AGodIAm,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Buffy the Vampire Slayer', 'Exodus: Gods and Kings']",2
49,AGodIAmNot,3,0,2,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"['Minority Report', 'The Great Dictator', 'The Legend of Hercules', 'Thor: The Dark World']",4
50,AGodIsYou,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Apocalypse: Caught in the Eye of the Storm'],1
